No	Freq	Pol	SR	FEC	Txp	Beam	R	TV	IMG	DATA	TOTAL
	10762	H	30000	3/5	A03	Europe B	2	18	0	5	25
	10804	H	29950	2/3	A05	Europe B	2	19	0	4	25
	10845	H	30000	3/5	A07	Europe B	0	17	0	0	17
	10887	H	30000	3/5	A09	Europe B	0	23	0	0	23
	10928	H	30000	3/5	A11	Europe B	0	5	0	0	5
	10972	V	27500	3/5	B02	Europe B	2	19	0	0	21
	10993	H	2506	5/6	B01	Europe A	0	1	0	0	1
	11011	V	27500	3/5	B02	Europe B	0	9	0	0	9
	11055	V	27500	4/5	B04	Europe B	0	12	0	2	14
	11069	H	354	2/3	B03	Europe A	1	0	0	0	1
	11070	H	274|376	1/2|3/5	B03	Europe A	1	0	0	0	1
	11071	H	274|334	1/2	B03	Europe A	2	0	0	0	2
	11093	V	27500	4/5	B04	Europe B	0	26	0	0	26
	11131	V	16593	2/3	B06	Europe B	2	7	0	0	9
	11139	H	30000	3/5	B5	Europe B	0	21	0	0	21
	11151	V	14375	3/5	B06	Europe B	0	16	0	0	16
	11178	V	30000	3/5	B06	Europe B	2	30	0	0	32
	11221	H	30000	3/5	C01	Europe A	1	12	0	0	13
	11231	V	42000	4/5	C02	Europe A	1	26	0	0	27
	11262	H	30000	2/3	C03	Europe B	11	5	0	0	16
	11283	V	30000	2/3	C04	Europe B	0	28	0	0	28
	11304	H	30000	2/3	C05	Europe B	9	17	0	0	26
	11324	V	30000	2/3	C06	Europe B	0	12	1	0	13
	11345	H	30000	3/4	C07	Europe B	3	5	0	0	8
	11366	V	30000	2/3	C08	Europe A	0	16	0	0	16
	11387	H	30000	3/5	C09	Europe B	0	20	0	0	20
	11427	V	27500	2/3	C10	Europe B	1	29	1	0	31
	11471	H	30000	3/4	D01	Europe B	0	22	0	0	22
	11471	V	30000	5/6	D02	Europe B	0	34	0	0	34
	11512	H	30000	3/4	D03	Europe B	0	22	0	0	22
	11512	V	29950	2/3	D04	Europe B	7	7	0	0	14
	11554	H	30000	3/4	D05	Europe B	0	19	0	0	19
	11554	V	30000	5/6	D06	Europe B	0	38	0	1	39
	11595	H	30000	3/4	D07	Europe B	7	21	0	0	28
	11595	V	30000	5/6	D08	Europe B	0	12	0	2	14
	11636	V	30000	2/3	D9	Europe A	9	8	0	0	17
	11637	H	30000	5/6	D09	Europe B	0	28	0	0	28
	11678	H	30000	3/4	D11	Europe B	0	27	0	1	28
	12543	V	19970	3/4	F02	Europe B	2	9	0	0	11
	12564	V	3617	3/4	F02	Europe B	0	1	0	0	1
	12569	H	3703	7/8	F03	Europe A	0	1	0	0	1
	12593	V	2500	2/3	F04	Europe B	0	1	0	0	1
	12605	H	30000	3/4	F03	Europe B	0	21	2	0	23
	12639	H	10833	3/5	F03	Europe B	5	6	0	0	11
	12643	V	27500	2/3	F04	Europe B	2	18	0	0	20
	12654	H	11111	2/3	F03	Europe B	0	3	0	0	3
	12660	H	2222	5/6	F03	Europe B	0	1	1	0	2
	12676	H	2667	3/4	F05	Europe B	0	1	0	0	1
	12680	H	334	1/2	F05	Europe B	1	0	0	0	1
	12694	H	2220	5/6	F05	Europe B	0	1	0	0	1
	12699	H	9880	2/3	F05	Europe B	0	5	0	0	5
	12717	H	7500	3/4	F05	Europe B	3	4	0	1	8
	12737	H	2255	3/4	F05	Europe B	0	1	0	0	1
