Freq	Pol	SR	Beam	Type	Name	FTA	Encryption	SID	VPID	APID Lang	Row
10714	H	22000-2/3	Europe	TV	TV Mainfranken	Yes	MPEG-4/HD	5900	2010	2012[Ger]	8000
10714	H	22000-2/3	Europe	TV	Franken Fernsehen	Yes	MPEG-4/HD	5901	2020	2022[Ger]	8000
10714	H	22000-2/3	Europe	TV	TVA Ostbayern	Yes	MPEG-4/HD	5902	2.30	2032[Ger]	8000
10714	H	22000-2/3	Europe	TV	TV Oberfranken	Yes	MPEG-4/HD	5903	2040	2041[Ger]	8000
10714	H	22000-2/3	Europe	TV	Niederbayern TV Landshut	Yes	MPEG-4/HD	5904	2050	2052[Ger]	8000
10714	H	22000-2/3	Europe	TV	Niederbayern TV Passau	Yes	MPEG-4/HD	5904	2050	2052[Ger]	8000
10714	H	22000-2/3	Europe	TV	Niederbayern TV Deggendorf	Yes	MPEG-4/HD	5904	2050	2052[Ger]	8000
10714	H	22000-2/3	Europe	TV	Oberpfalz TV	Yes	MPEG-4/HD	5905	2060	2062[Ger]	8000
10744	H	22000-5/6	Europe	TV	Tagesschau 24	Yes		28721	101	102[Ger]	8010
10744	H	22000-5/6	Europe	TV	One	Yes		28722	201	202[Ger]|203[Qaa]|206[Ger]	8010
10744	H	22000-5/6	Europe	TV	ARTE Deutsch	Yes		28724	401	402[Ger]|408[Fre]	8010
10744	H	22000-5/6	Europe	TV	Phoenix	Yes		28725	501	502[Ger]|503[Qaa]	8010
10773	H	22000-3/4	Europe	TV	Anixe HD Serie	Yes	MPEG-4/HD	21100	255	259[Ger]	8016
10773	H	22000-3/4	Europe	TV	QVC Deutschland	Yes	MPEG-4/HD	21103	1023	1027[Ger]	8016
10773	H	22000-3/4	Europe	TV	HSE 24	Yes	MPEG-4/HD	21104	1279	1283[Ger]	8016
10773	H	22000-3/4	Europe	TV	Comedy Central Deutschland	No	MPEG-4/HD|Irdeto|Nagravision|Videoguard	21107	511	515[Ger]	8016
10773	H	22000-3/4	Europe	TV	Welt	No	MPEG-4/HD|Irdeto|Nagravision|Videoguard	21108	767	771[Ger]	8016
10773	H	22000-3/4	Europe	TV	Sophia TV Deutsch	Yes	MPEG-4/SD	21112	3071	3072[Ger]	8016
10773	H	22000-3/4	Europe	TV	Genius Plus TV	Yes	MPEG-4/SD	21113	3327	3328[Ger]	8016
10773	H	22000-3/4	Europe	TV	Comedy Central Deutschland	No	MPEG-4/HD|Irdeto|Viaccess|Videoguard	21117	511	515[Ger]	8016
10773	H	22000-3/4	Europe	TV	Welt	No	MPEG-4/HD|Irdeto|Viaccess|Videoguard	21118	767	771[Ger]	8016
10803	H	22000-3/4	Europe	TV	Disney Channel Deutschland	No	MPEG-4/HD|Irdeto|Nagravision|Viaccess|Videoguard	5500	255	259[Ger]	8027
10803	H	22000-3/4	Europe	TV	HSE 24 Extra	Yes	MPEG-4/HD	5501	511	515[Ger]	8027
10803	H	22000-3/4	Europe	TV	1-2-3 TV (05-02)	Yes	MPEG-4/HD	5502	767	771[Ger]	8027
10803	H	22000-3/4	Europe	TV	Babestation 24 (02-05)	Yes	MPEG-4/HD	5502	767	771[Ger]	8027
10803	H	22000-3/4	Europe	TV	Deluxe Music	No	MPEG-4/HD|Irdeto|Nagravision|Viaccess|Videoguard	5503	1023	1027[Ger]	8027
